X_inv_KCI_p,X_inv_KCI_rej,X_inv_KCI_time,Y_inv_KCI_p,Y_inv_KCI_rej,Y_inv_KCI_time,Z_inv_KCI_p,Z_inv_KCI_rej,Z_inv_KCI_time,NP_KCI_p,NP_KCI_rej,NP_KCI_time
0.0,true,0.1074879,0.0,true,0.072355015,0.105,false,0.075630795,0.05,true,0.074740396
0.0,true,0.068660952,0.265,false,0.070231597,0.0,true,0.073920307,0.14,false,0.072115769
0.0,true,0.069001655,0.055,false,0.069521323,0.0,true,0.076263958,0.175,false,0.070524667
0.045,true,0.080684501,0.145,false,0.086051414,0.135,false,0.07991833,0.055,false,0.077135808
0.095,false,0.074894532,0.185,false,0.073480402,0.0,true,0.077672312,0.13,false,0.07642137
0.0,true,0.084587665,0.05,true,0.070717494,0.025,true,0.071955364,0.115,false,0.09194516
0.0,true,0.069114818,0.225,false,0.073482889,0.09,false,0.074430312,0.1,false,0.072004941
0.1,false,0.071022816,0.14,false,0.073829358,0.1,false,0.078423792,0.07,false,0.069071019
0.1,false,0.069924425,0.06,false,0.069580785,0.0,true,0.079183305,0.205,false,0.071399399
0.14,false,0.07035151,0.125,false,0.079752486,0.13,false,0.077195904,0.0,true,0.070400729
0.025,true,0.072656561,0.175,false,0.076368737,0.125,false,0.077173622,0.11,false,0.07224494
0.155,false,0.076282655,0.14,false,0.069571979,0.16,false,0.077594096,0.11,false,0.072198393
0.085,false,0.066496112,0.04,true,0.07323536,0.065,false,0.074590689,0.15,false,0.074105264
0.0,true,0.068825764,0.05,true,0.070122809,0.095,false,0.073305946,0.0,true,0.072040862
0.0,true,0.072726932,0.0,true,0.07495411,0.105,false,0.073365305,0.095,false,0.068905985
0.0,true,0.069658105,0.045,true,0.073627414,0.06,false,0.07679205,0.0,true,0.072847368
0.045,true,0.069024053,0.105,false,0.073626259,0.16,false,0.074602851,0.115,false,0.069207213
0.105,false,0.076380395,0.105,false,0.073168124,0.1,false,0.072500246,0.065,false,0.068177753
0.035,true,0.069538479,0.135,false,0.071781156,0.15,false,0.0740541,0.115,false,0.073927767
0.07,false,0.06953595,0.055,false,0.072020019,0.0,true,0.078959833,0.0,true,0.072526506
0.15,false,0.073688494,0.095,false,0.071489615,0.12,false,0.075570376,0.13,false,0.069215949
0.045,true,0.069483667,0.0,true,0.081435954,0.09,false,0.074252595,0.1,false,0.070865307
0.045,true,0.073386021,0.14,false,0.068769048,0.045,true,0.071583489,0.095,false,0.073696526
0.06,false,0.074692464,0.065,false,0.071302457,0.035,true,0.076448674,0.07,false,0.070352734
0.0,true,0.066666865,0.0,true,0.071392028,0.105,false,0.075194867,0.11,false,0.073029334
0.045,true,0.066464595,0.13,false,0.074749464,0.11,false,0.074901008,0.135,false,0.075015454
0.0,true,0.072433571,0.075,false,0.072582421,0.13,false,0.07456284,0.085,false,0.071280647
0.02,true,0.067848052,0.045,true,0.071932272,0.11,false,0.073128459,0.0,true,0.073053589
0.08,false,0.069477575,0.11,false,0.071724592,0.125,false,0.076337128,0.14,false,0.072623256
0.115,false,0.075690177,0.37,false,0.072430179,0.08,false,0.074151584,0.075,false,0.072091465
0.125,false,0.067179565,0.115,false,0.074477325,0.09,false,0.073386437,0.08,false,0.070934265
0.165,false,0.070255046,0.165,false,0.071507864,0.14,false,0.072822298,0.16,false,0.070437881
0.15,false,0.068927128,0.165,false,0.07220177,0.095,false,0.075196198,0.11,false,0.070170428
0.145,false,0.069627882,0.145,false,0.074145282,0.075,false,0.076179554,0.05,true,0.070064278
0.125,false,0.069741868,0.09,false,0.071683218,0.06,false,0.076795311,0.14,false,0.072080463
0.0,true,0.081371872,0.18,false,0.070466087,0.135,false,0.075716581,0.13,false,0.071165079
0.0,true,0.070956176,0.13,false,0.07612052,0.13,false,0.074763695,0.145,false,0.073707081
0.115,false,0.070112833,0.235,false,0.073567909,0.2,false,0.076868929,0.105,false,0.077928771
0.0,true,0.074163951,0.0,true,0.07326992,0.14,false,0.073772308,0.165,false,0.084718712
0.015,true,0.078308833,0.045,true,0.07632077,0.185,false,0.074916777,0.135,false,0.077429223
0.06,false,0.07426304,0.0,true,0.074328923,0.125,false,0.08044726,0.115,false,0.081941565
