H0_KCI_p,H0_KCI_rej,H0_KCI_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time
0.205,false,0.06835037,0.015,true,0.019918722
0.185,false,0.023038266,0.0,true,0.019531049
0.145,false,0.022432017,0.07,false,0.018988241
0.45,false,0.022721047,0.015,true,0.019727551
0.36,false,0.022742834,0.125,false,0.019736436
0.28,false,0.02314861,0.005,true,0.020041379
0.22,false,0.023601199,0.01,true,0.020859609
0.335,false,0.022366248,0.05,true,0.0200026
0.395,false,0.02363748,0.015,true,0.022773577
0.22,false,0.022694222,0.015,true,0.022926943
0.04,true,0.023061027,0.01,true,0.022616015
0.3,false,0.023513598,0.005,true,0.02236781
0.04,true,0.023522311,0.045,true,0.022885836
0.42,false,0.02319135,0.07,false,0.022024536
0.6,false,0.023732553,0.0,true,0.021508143
0.11,false,0.022280913,0.0,true,0.022642193
0.335,false,0.02173218,0.02,true,0.02198448
0.535,false,0.02198944,0.005,true,0.022184307
0.475,false,0.022986991,0.015,true,0.022351442
0.58,false,0.023107389,0.0,true,0.022758429
0.45,false,0.02429202,0.01,true,0.023059713
0.24,false,0.023701128,0.005,true,0.02271725
0.415,false,0.025519744,0.01,true,0.041181024
0.375,false,0.025770437,0.125,false,0.020730363
0.44,false,0.038808369,0.0,true,0.020481625
0.305,false,0.023081124,0.015,true,0.020432538
0.425,false,0.021454469,0.075,false,0.020800081
0.59,false,0.022884724,0.11,false,0.020511031
0.505,false,0.022212056,0.015,true,0.020347762
0.415,false,0.023118149,0.01,true,0.021078089
0.325,false,0.02232907,0.05,true,0.021167519
0.33,false,0.022101336,0.0,true,0.023519064
0.545,false,0.02254465,0.045,true,0.02326951
0.425,false,0.022222086,0.005,true,0.022586775
0.34,false,0.022567192,0.035,true,0.021328348
0.16,false,0.02192707,0.01,true,0.022618381
0.275,false,0.022483167,0.02,true,0.022925497
0.265,false,0.023454076,0.045,true,0.023456653
0.29,false,0.02197854,0.01,true,0.023666556
0.24,false,0.022238959,0.015,true,0.023973845
0.495,false,0.022425773,0.025,true,0.022443303
0.315,false,0.021965243,0.005,true,0.022401366
0.24,false,0.021832592,0.045,true,0.022510596
0.11,false,0.023012394,0.005,true,0.022906209
0.285,false,0.023227043,0.03,true,0.022928506
0.635,false,0.022209158,0.025,true,0.023566593
0.29,false,0.022655194,0.0,true,0.024421326
0.17,false,0.022408262,0.05,true,0.02325275
0.11,false,0.022644182,0.13,false,0.028979737
0.245,false,0.023507128,0.01,true,0.020076348
0.39,false,0.033385734,0.085,false,0.020590778
0.075,false,0.022253931,0.045,true,0.019828239
0.08,false,0.021802849,0.04,true,0.02054838
0.43,false,0.022264867,0.005,true,0.01941816
0.36,false,0.022260392,0.02,true,0.020408835
0.495,false,0.021750589,0.005,true,0.019370377
0.44,false,0.022476609,0.14,false,0.022781111
0.21,false,0.022142501,0.11,false,0.021115849
0.355,false,0.021453496,0.025,true,0.020554686
0.09,false,0.022758081,0.0,true,0.020997539
0.33,false,0.022468456,0.12,false,0.021378381
0.405,false,0.023067448,0.03,true,0.020584887
0.325,false,0.022647009,0.025,true,0.021017481
0.26,false,0.02264249,0.0,true,0.020376329
0.265,false,0.022186606,0.0,true,0.021785905
0.215,false,0.023250338,0.105,false,0.020864769
0.27,false,0.022234242,0.0,true,0.020341478
0.21,false,0.021792282,0.0,true,0.020370965
0.24,false,0.022453153,0.0,true,0.021294785
0.1,false,0.023649188,0.02,true,0.021111902
0.53,false,0.023597762,0.085,false,0.021394621
0.22,false,0.022207544,0.035,true,0.020690617
0.39,false,0.023155747,0.09,false,0.020485572
0.51,false,0.022628686,0.0,true,0.029761179
0.065,false,0.023532625,0.04,true,0.020654661
0.11,false,0.031927599,0.005,true,0.020528646
0.285,false,0.022171729,0.025,true,0.020170052
0.14,false,0.02262392,0.085,false,0.020023864
0.045,true,0.021954292,0.01,true,0.019261998
0.205,false,0.023719748,0.01,true,0.020457758
0.34,false,0.022297134,0.0,true,0.020104023
0.365,false,0.022168705,0.03,true,0.019993758
0.55,false,0.022663703,0.005,true,0.020156686
0.455,false,0.022528681,0.02,true,0.019450682
0.365,false,0.022201668,0.09,false,0.021697722
0.345,false,0.021807066,0.01,true,0.022285107
0.11,false,0.021669971,0.07,false,0.021257371
0.075,false,0.021961676,0.015,true,0.022677239
0.135,false,0.023030136,0.02,true,0.021471052
0.485,false,0.022686157,0.015,true,0.02123331
0.105,false,0.021590527,0.085,false,0.021842186
0.08,false,0.021927922,0.015,true,0.021852073
0.125,false,0.022207911,0.005,true,0.022400937
0.335,false,0.023299007,0.015,true,0.021798696
0.405,false,0.022223766,0.21,false,0.020538022
0.335,false,0.022289934,0.015,true,0.021135453
0.295,false,0.022315121,0.025,true,0.020503238
0.46,false,0.02148312,0.055,false,0.020128874
0.15,false,0.021855676,0.0,true,0.026561755
0.305,false,0.021848128,0.02,true,0.021178661
0.01,true,0.027822459,0.0,true,0.020826287
0.265,false,0.02191338,0.02,true,0.020917289
0.28,false,0.022006019,0.02,true,0.020769329
0.225,false,0.021526933,0.015,true,0.021109624
0.495,false,0.022139135,0.09,false,0.020396375
0.315,false,0.022637872,0.0,true,0.021282764
0.365,false,0.021915093,0.01,true,0.021871572
0.3,false,0.021763102,0.025,true,0.021848058
0.27,false,0.022100011,0.15,false,0.020587742
0.415,false,0.021723976,0.02,true,0.020393984
0.125,false,0.021120221,0.055,false,0.02112597
0.365,false,0.021660084,0.06,false,0.02115793
0.485,false,0.021601727,0.0,true,0.021937968
0.405,false,0.022738387,0.085,false,0.021348757
0.165,false,0.021789957,0.02,true,0.020309732
0.29,false,0.022575883,0.035,true,0.021208848
0.565,false,0.022822588,0.01,true,0.020964628
0.32,false,0.021935434,0.055,false,0.020416156
0.41,false,0.022453538,0.01,true,0.022663686
0.4,false,0.021809553,0.08,false,0.02079794
0.185,false,0.021266818,0.01,true,0.020843703
0.02,true,0.022713661,0.005,true,0.022118067
0.11,false,0.0219165,0.0,true,0.020693168
0.69,false,0.023190647,0.01,true,0.021434183
0.14,false,0.022066099,0.035,true,0.021684376
0.375,false,0.026708032,0.0,true,0.020098595
0.185,false,0.022275746,0.02,true,0.022563614
0.125,false,0.022083974,0.085,false,0.021287232
0.415,false,0.022615827,0.015,true,0.021298358
0.6,false,0.022490118,0.075,false,0.021913404
0.5,false,0.021619645,0.015,true,0.023188459
0.275,false,0.022175934,0.045,true,0.021483723
0.265,false,0.021738338,0.05,true,0.0253603
0.175,false,0.021210881,0.0,true,0.023568088
0.18,false,0.021583675,0.025,true,0.023786565
0.31,false,0.023070047,0.005,true,0.024600478
0.185,false,0.021483343,0.01,true,0.024732682
0.5,false,0.02247077,0.01,true,0.024535042
0.185,false,0.023218141,0.015,true,0.02506058
0.21,false,0.022841355,0.005,true,0.024488637
0.345,false,0.022604836,0.0,true,0.024540082
0.115,false,0.022108632,0.005,true,0.024056115
0.505,false,0.022176223,0.01,true,0.024180265
0.175,false,0.022921275,0.04,true,0.025087536
0.29,false,0.021421042,0.13,false,0.024043821
