H0_KCI_p,H0_KCI_rej,H0_KCI_time,H0_CP_p,H0_CP_rej,H0_CP_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time,H1_CP_p,H1_CP_rej,H1_CP_time
0.125,false,0.132067988,0.14427860696517414,false,1.596689883,0.0,true,0.021574178,0.21890547263681592,false,1.555667175
0.54,false,0.075699647,0.6318407960199005,false,1.590659781,0.0,true,0.021338898,0.004975124378109453,true,1.512891
0.11,false,0.038473184,0.07462686567164178,false,1.529399389,0.0,true,0.022076909,0.009950248756218905,true,1.553810267
0.19,false,0.028145527,0.009950248756218905,true,1.534908161,0.0,true,0.023627081,0.004975124378109453,true,1.510118427
0.055,false,0.026596477,0.6716417910447762,false,1.525316658,0.0,true,0.02139209,0.009950248756218905,true,1.521254665
0.155,false,0.022325876,0.34328358208955223,false,1.54014791,0.0,true,0.0220246,0.004975124378109453,true,1.52065723
0.35,false,0.02232764,0.12437810945273632,false,1.530241717,0.0,true,0.0216116,0.004975124378109453,true,1.5081217
0.19,false,0.02302942,0.0845771144278607,false,1.549615161,0.0,true,0.021985648,0.004975124378109453,true,1.515232543
0.2,false,0.022680124,0.4925373134328358,false,1.52970395,0.0,true,0.021471404,0.014925373134328358,true,1.513029585
0.5,false,0.021977512,0.1691542288557214,false,1.520080196,0.0,true,0.021978725,0.004975124378109453,true,1.543334529
0.135,false,0.022790003,0.7562189054726368,false,1.529417916,0.0,true,0.021973757,0.029850746268656716,true,1.499344212
0.17,false,0.022082557,0.31343283582089554,false,1.534157749,0.0,true,0.021565387,0.004975124378109453,true,1.52603206
0.635,false,0.021615334,0.13432835820895522,false,1.51982183,0.0,true,0.02156027,0.004975124378109453,true,1.546581191
0.135,false,0.022398366,0.024875621890547265,true,1.544378529,0.0,true,0.023189647,0.004975124378109453,true,1.509015705
0.285,false,0.021696688,0.3383084577114428,false,1.533069314,0.0,true,0.021949246,0.05970149253731343,false,1.515580338
0.585,false,0.024561394,0.0845771144278607,false,1.531352784,0.0,true,0.021844028,0.009950248756218905,true,1.522866275
0.205,false,0.022330877,0.2835820895522388,false,1.531415286,0.0,true,0.031888417,0.004975124378109453,true,1.505251332
0.05,true,0.02208078,0.1890547263681592,false,1.522843248,0.0,true,0.021228099,0.004975124378109453,true,1.522995982
0.69,false,0.022404498,0.6766169154228856,false,1.534901741,0.0,true,0.02194052,0.3880597014925373,false,1.510268402
0.43,false,0.021716603,0.7064676616915423,false,1.525646187,0.0,true,0.02164874,0.004975124378109453,true,1.510797612
0.285,false,0.022251461,0.19402985074626866,false,1.575677314,0.0,true,0.021821788,0.004975124378109453,true,1.510135784
0.045,true,0.034900434,0.14427860696517414,false,1.598567669,0.0,true,0.021223443,0.009950248756218905,true,1.51464334
0.63,false,0.023080586,0.9552238805970149,false,1.569082882,0.0,true,0.021379203,0.004975124378109453,true,1.510400953
0.18,false,0.030396895,0.04975124378109453,true,1.516980961,0.0,true,0.030802923,0.004975124378109453,true,1.512730927
0.205,false,0.022123392,0.4129353233830846,false,1.532993266,0.0,true,0.021177718,0.004975124378109453,true,1.506049476
0.095,false,0.022427884,0.208955223880597,false,1.527082687,0.0,true,0.031797609,0.004975124378109453,true,1.511625326
0.115,false,0.030542082,0.9751243781094527,false,1.525704908,0.0,true,0.021197813,0.004975124378109453,true,1.513227414
